,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-01-01,44.033493,26.6772556,63.1120071,48.6086311,56.9385834,62.7873573,74.7907333,42.3094215,43.6092339,60.7769775,67.5722275,52.3063889,52.3063889,79.5647964,61.9162292,50.4414749,87.3782349,53.605896,80.3007584,70.7325439
2019-01-02,44.6280098,26.1048393,60.2966728,45.8280869,55.0511246,57.7044106,67.2456512,40.8230133,51.1691589,63.1967888,67.3230591,54.5065384,54.5065384,80.8869553,55.0430031,51.023304,83.2857361,60.4188843,77.1395264,68.6005096
2019-01-03,34.2170372,26.5669727,60.6190376,48.3030853,63.6671753,62.1175156,63.0152855,45.0677338,40.2970924,56.9479103,67.8665848,45.1899109,45.1899109,81.6930542,58.1649818,54.58041,77.2632217,61.9699326,69.8145142,66.0918274
2019-01-04,41.6577606,27.2364826,58.6312599,50.3095856,61.340229,65.822998,66.4191742,40.1036224,52.6919518,59.4274712,67.7439651,46.0680542,46.0680542,82.682579,72.5442429,50.7610359,86.0829239,60.7109795,74.5341568,63.785984
2019-01-05,40.8666954,32.0733109,61.2872963,48.0790176,60.4887276,64.7933731,79.665123,44.2859879,36.6858902,63.4424858,70.7651672,43.7091751,43.7091751,81.9391022,64.0324631,42.4011841,83.2033463,70.1198807,52.290535,62.5901413
2019-01-06,45.1234703,28.5441761,63.6516571,53.9510002,59.606514,64.470108,71.5784149,50.8018074,43.7780762,59.0286789,67.9388657,58.9058762,58.9058762,81.6402588,50.4846001,44.7955017,83.7681351,62.747467,84.3911972,64.1308441
2019-01-07,37.8808975,28.944746,60.0386887,49.4484367,61.1962891,68.7917175,71.3503876,42.3674507,50.8898048,60.9004631,66.915535,50.1738777,50.1738777,81.6286926,58.4134483,48.407959,80.2743759,61.9420547,79.1890945,61.1382637
2019-01-08,44.4328957,27.6792202,61.4620094,53.6526375,60.4317932,65.6757889,72.450882,46.3352051,39.250145,61.1062813,69.1288681,59.7335358,59.7335358,79.0495758,57.4603348,49.246357,82.0811691,57.9034042,73.2725296,60.4767799
2019-01-09,43.7624626,27.9665165,58.3566666,46.7126427,60.2837143,57.7659569,67.5241013,42.2486763,53.9811974,63.1116562,68.6518478,55.24897,55.24897,78.7541656,58.7799034,56.7137299,73.7019424,70.3790359,80.1858444,60.5936165
2019-01-10,34.4827766,28.2031364,57.5442009,48.1291656,59.7874336,57.9355392,60.519886,48.2191811,41.8138275,60.1329803,66.6152344,57.9021149,57.9021149,76.9544907,69.8659592,52.0220985,74.232254,64.1558304,79.7750244,64.8867493
2019-01-11,43.8321495,24.7969456,57.7814903,47.2042046,55.930378,74.2024155,70.5093002,44.4723358,35.0784683,66.5469971,68.4919357,58.2094231,58.2094231,74.9520721,56.2614746,55.3023529,81.6530838,73.6527863,82.8987579,66.2310257
2019-01-12,38.2143784,27.1185741,58.3381348,46.3687172,55.338871,62.9321938,71.1031952,47.4138374,30.247345,58.6391182,74.1079712,51.7951279,51.7951279,73.8772659,74.6967239,52.211338,77.8280182,55.4031982,81.8798599,65.8642883
2019-01-13,44.1269341,25.926775,57.3190956,48.5760269,53.6126404,67.762291,74.5765915,49.4724045,38.0946808,56.4195251,65.8096466,59.9961052,59.9961052,72.9357605,63.8495636,52.7585411,83.7050552,57.9964104,75.6465988,69.4000931
2019-01-14,41.1839294,28.6425743,58.6955376,43.8524628,58.3127365,58.8118019,63.6771431,42.8274879,52.6903114,62.3108177,65.8372269,55.2908897,55.2908897,72.9189606,60.545742,50.3220596,78.1917343,58.4981499,62.9694786,65.7924423
2019-01-15,42.8554382,27.6721878,59.275795,52.9019165,54.5887222,57.2914772,73.786705,39.7907066,52.2734146,47.8341789,67.149765,61.9180145,61.9180145,70.6489105,57.4491043,49.5494766,79.4141312,59.4471779,71.9733963,69.1265564
2019-01-16,40.0581932,28.6718197,56.6892815,43.4253769,50.810524,60.8740349,65.1220627,38.9621811,54.3026772,56.0829239,64.189743,52.5716286,52.5716286,73.0572052,56.6981354,61.3421936,82.7816849,50.5256958,73.6453247,68.0086517
2019-01-17,35.087513,29.222517,56.7360497,45.440361,55.6598053,65.5223999,64.0276108,44.5613899,48.2894402,64.9396057,65.2307281,50.1139488,50.1139488,75.1947098,54.7514076,64.1531143,78.0137939,64.2626572,66.1293716,70.123291
2019-01-18,39.0956078,31.8050499,58.0267105,46.0989113,61.0521126,53.8912849,51.9397621,38.2658844,52.9517593,60.6530838,66.4218979,47.3559952,47.3559952,75.5368118,47.9799194,60.9443436,76.7484512,56.9426117,74.6022568,68.829216
2019-01-19,33.9826279,31.7969513,56.7481956,45.1397552,60.7997971,65.1334305,47.2796898,43.1698647,44.7396584,64.1565781,60.7627029,41.8202858,41.8202858,73.7983398,52.4010124,68.2979202,77.6045303,56.925293,75.687561,67.2010651
2019-01-20,42.8142395,28.0733471,59.0341339,51.4087601,55.1767654,68.8772659,59.3683014,37.4531708,39.2384949,66.5569611,69.0977402,44.8260269,44.8260269,74.6571198,54.1500893,71.2357483,80.2484436,77.9558563,73.5829086,64.2595291
2019-01-21,37.6805115,30.1367989,55.9777184,46.4495201,51.3988953,58.1398926,59.6318932,42.801899,37.3193169,67.3997955,69.2760925,39.4106941,39.4106941,74.9824066,59.7538261,62.5467148,82.4673309,72.2290955,66.1807404,65.121788
2019-01-22,41.9059219,28.0582638,56.8765526,53.9769783,52.5608406,62.6279526,56.1916389,46.9324341,37.3111153,64.5880966,70.0494614,47.0110054,47.0110054,78.0654144,53.1359787,59.1374016,78.8679123,60.7284279,73.9663162,67.8984985
2019-01-23,37.3590698,32.4506989,55.9358978,43.9436569,55.1083755,62.7962151,62.6974945,47.9062347,46.7299919,66.7230911,76.5722961,41.7426414,41.7426414,79.1960831,70.4562988,63.9869804,80.0944366,71.6888351,69.0016022,65.4474945
2019-01-24,44.5799294,31.8644524,60.3571472,50.5131073,57.9435577,56.1124306,63.9805565,53.6127663,43.3936615,62.8916588,72.0630951,46.3070984,46.3070984,78.8912354,49.7238159,57.2608757,73.2867966,64.8334427,71.7334518,63.0343857
2019-01-25,42.7862282,33.3531799,58.0260963,46.3733406,56.2841797,69.4893265,69.34021,54.1912689,50.5398407,61.1495399,68.6151123,39.7469139,39.7469139,78.004776,61.9839211,57.110878,78.0491333,58.1219978,75.7371063,60.4156418
2019-01-26,41.9536743,35.0657654,60.0478516,46.3085289,57.7825432,64.741951,68.8148422,58.5529671,43.9466019,61.6282806,71.4179001,41.7375565,41.7375565,78.2876663,56.8147469,57.8082352,80.3520355,60.6264191,69.2829361,59.676487
2019-01-27,49.4080238,35.9278908,58.2401199,50.8074837,59.3908882,64.1500626,68.754509,54.3308487,44.6567497,60.8314819,69.4240494,40.4803734,40.4803734,77.005928,49.2934799,59.8712273,82.8969955,68.0651398,69.6634445,57.625679
2019-01-28,40.1099396,35.3246078,60.2585144,52.9732971,57.5847931,60.9647675,65.2267532,53.3766098,38.6200867,63.2148514,70.4214935,31.9867058,31.9867058,78.5043335,56.1308098,56.2069473,85.399498,73.3250885,65.0018234,60.1281776
2019-01-29,44.3190155,32.6643486,56.05653,57.2993164,56.0371246,54.6671333,62.9954681,41.9338531,56.5187035,60.9057426,68.9749451,43.6501961,43.6501961,77.791069,52.9240875,62.6714897,81.481842,50.5754623,73.7188187,60.0593338
2019-01-30,40.0493698,31.9065342,52.7254753,53.914917,56.262249,58.0274734,60.2303352,37.4397736,48.4281883,67.3967133,66.0020294,39.2665291,39.2665291,77.6063309,54.2060318,58.8580856,81.0965652,66.1342392,71.3550644,59.5040779
2019-01-31,41.5399208,35.8754234,54.993248,53.2125244,52.4782295,65.5526352,62.5419693,41.2167206,43.3617363,65.4274445,69.3702927,53.2011986,53.2011986,77.9347687,61.0928307,64.2570801,81.9803619,66.8030624,69.6035538,60.8693123
2019-02-01,39.8556328,33.3402405,53.9222298,52.4977913,51.5483513,61.4780083,70.0171509,48.274395,47.9016571,73.8327637,71.4411926,43.2272911,43.2272911,79.6809464,67.8178406,70.4788437,85.4000549,57.7401543,64.028656,61.6503677
2019-02-02,40.41399,33.3512917,55.5288353,53.6045952,56.0950584,64.1775436,60.419239,47.9912987,43.4333839,63.2274513,62.2880249,51.3982544,51.3982544,79.3733063,55.4652672,64.3726196,83.5302811,63.5230293,68.948555,67.1490479
