,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-01-01,37.2903061,52.1146469,30.8646183,24.9559574,-0.943395972,4.59960318,-0.0224365238,23.9623356,20.3864079,10.7577152,9.75301552,22.1562443,22.1562443,-19.0401516,4.57467031,15.1205387,-1.62229002,0.738641381,6.84105825,-2.32227182
2019-01-02,35.9653549,51.5171432,32.5313339,26.0767765,-0.120184325,7.95192862,1.05504763,28.5719547,16.0401554,9.32531166,6.14574575,24.1598759,24.1598759,-19.1289425,6.70726919,14.1189213,-5.53336191,-2.07095957,3.92241812,-1.79089963
2019-01-03,35.9146957,51.4629745,32.3427963,26.0631962,-1.6877197,5.82393789,-1.15793455,23.5969181,22.1368351,7.58266592,10.095911,25.3036442,25.3036442,-19.5449581,7.212152,13.8408451,-4.00946665,-2.42801523,0.64251101,1.25631106
2019-01-04,34.8567734,50.4928818,32.8954697,21.9357853,-1.55954587,5.96950674,-2.00696421,28.2405338,17.1338139,5.05217886,10.3311405,27.0453739,27.0453739,-20.6565609,5.09771109,13.585413,-2.48355722,-0.690618873,3.39690542,3.84163809
2019-01-05,37.8869858,46.761528,30.9268742,26.8620243,-0.646246314,2.09841299,-0.553503394,28.8483524,20.5927067,7.75545645,7.87972403,29.3711491,29.3711491,-21.6504574,5.49007559,14.9935856,-3.21536875,-6.38965464,-2.60727549,4.56362295
2019-01-06,33.5387497,48.5870285,29.9574528,21.3839359,-0.681433082,0.830621362,-2.94708872,26.374445,18.4908085,9.60085487,7.65801382,25.4138126,25.4138126,-20.8831692,7.97335196,14.4507389,-2.21842051,-2.39588022,4.82094717,3.57174063
2019-01-07,34.0889511,48.4020309,31.2882023,22.7611637,-1.84555662,0.457238764,-2.28766489,28.0851078,16.4719486,9.60000038,7.01979971,28.5678654,28.5678654,-19.6320858,8.81933022,13.8612309,-3.80859995,-2.54300547,4.79723501,2.37938833
2019-01-08,29.4114017,50.1193771,29.9471378,19.6877689,-3.50595713,4.54049063,-3.49603891,24.6797428,19.8106327,7.94173574,9.85164833,25.1416264,25.1416264,-19.4256496,6.72765493,13.2491398,-7.48804331,0.472558588,6.66332388,3.21651602
2019-01-09,32.1205063,48.4175949,30.7605839,24.2466373,-0.806890845,2.98793936,-6.1071229,27.7965031,14.9785709,4.91375113,4.07048941,26.3497257,26.3497257,-20.3412533,1.85299075,13.1438541,-5.88852549,-10.7995358,4.22768545,2.28130484
2019-01-10,31.3744144,50.2289352,30.1459904,25.5899906,0.395471185,2.97139883,-6.73569345,23.2501163,18.5807743,7.43166494,8.334589,26.1895695,26.1895695,-20.6249142,7.9156127,11.4904728,-2.57565928,-6.85535288,2.07286978,2.07253408
2019-01-11,30.5883732,51.9687424,31.2786198,19.8883915,2.12087393,1.79738772,-3.99634409,27.9094486,17.5342655,7.74144888,6.85994864,25.7981205,25.7981205,-20.4691219,9.29796791,10.5024662,-0.795782447,-6.77869272,2.24529409,0.572351098
2019-01-12,34.0556564,50.880394,30.9880314,24.911768,2.24016714,2.95174551,-5.60684824,26.2140446,19.2335758,9.5297184,5.41048574,26.5674381,26.5674381,-19.6030941,9.27938271,12.9736576,-4.20126963,-4.89142466,3.42836905,1.56423342
2019-01-13,32.6156845,50.8381271,31.3164616,22.1328068,1.82647097,6.0960021,-2.39826059,27.9583683,19.6070194,10.0990238,9.94982338,24.8707829,24.8707829,-18.8196621,9.42223549,13.416193,-7.27713633,4.9703002,5.83925772,0.596337914
2019-01-14,34.4745712,49.8586349,30.8652897,27.1928043,-0.370825201,4.87618399,0.0714355484,29.2154179,16.075922,9.5191288,9.30077553,24.6303959,24.6303959,-16.8920345,12.607172,15.5485477,-6.88980722,0.110162355,3.42791128,0.719751
2019-01-15,33.7275314,51.9145737,32.3936081,23.3303165,-1.58609617,7.27190542,-3.89484262,27.4588261,19.2105961,11.2683659,7.29573965,23.0451908,23.0451908,-15.9593563,7.56270742,14.6183109,-11.1109066,1.28106081,2.95632315,0.30367431
2019-01-16,36.4189072,50.9021225,32.6828232,26.1238956,1.26989138,6.89446402,-0.0976318344,30.5997562,18.4717655,11.1269169,5.90734243,26.1061344,26.1061344,-16.1527462,4.8689208,12.3321171,-13.6283016,2.06487417,1.18682253,1.63173831
2019-01-17,35.0960312,51.3851852,32.0183334,26.9002628,1.24791873,6.35894156,-1.0496887,24.9280033,19.2975712,9.20601845,7.53377676,25.6581059,25.6581059,-17.5959072,7.42363882,10.0030155,-12.3831539,-3.34262705,4.71535635,1.5277344
2019-01-18,33.3829269,49.0885849,32.1672287,23.9715519,1.20922244,4.15667105,1.13775027,29.3593693,11.1852665,9.40453529,6.90734243,28.0295963,28.0295963,-15.2318172,9.15535927,8.80147743,-9.60123253,-0.622076392,0.212243646,1.10570681
2019-01-19,36.6347275,49.6333847,30.9279118,26.7941227,1.25063479,4.61107779,0.186883539,25.1205997,16.0512943,8.80239296,10.1784916,27.9157658,27.9157658,-15.5693722,9.38335609,5.60848379,-8.75839806,-2.92365122,1.78945315,0.857385278
2019-01-20,33.8128586,51.5856552,31.8355961,19.6960697,0.885491967,1.34713137,-1.14411008,30.6145878,15.4643803,6.50863028,9.45342445,26.8839664,26.8839664,-15.8671627,8.16927528,9.32018471,-9.97058678,-4.09250498,3.91085196,-0.260595709
2019-01-21,35.5499802,49.9798508,32.6127548,23.5249271,3.05736685,4.40407705,-0.599768043,29.4965153,17.2537174,3.71679068,5.65801382,28.7125187,28.7125187,-16.2157345,8.49782753,11.6602116,-13.3248348,-1.77686155,2.22268057,-0.160223395
2019-01-22,36.5620346,51.6339645,33.2629623,19.6632023,4.57619619,1.69411623,-2.08777475,29.8418522,18.0045719,5.97716665,7.33043814,27.5512943,27.5512943,-17.2863216,9.52327919,7.63460684,-12.197546,-2.47849131,2.8414855,-1.31986082
2019-01-23,39.5911484,48.0213242,33.1194382,24.6213932,4.22789907,-1.65885007,-5.12860727,29.2996464,16.5892582,4.42769766,6.60796499,27.4281559,27.4281559,-18.5350246,7.99755239,9.36638832,-9.88074303,-7.5506959,3.13314199,2.51345205
