,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-01-01,3.40984513e+15,3.07148358e+15,2.50419491e+15,3.34676683e+15,5.19957116e+15,2.96295513e+15,2.54651161e+15,4.20373092e+15,4.12147585e+15,2.33808195e+15,3.63935745e+15,3.20673613e+15,3.20673613e+15,1.95251898e+15,1.23325433e+16,3.04749378e+15,1.71556885e+15,1.41585516e+15,2.49035599e+15,2.40246082e+15
2019-01-02,3.37948374e+15,3.27642224e+15,2.53344498e+15,3.40870992e+15,7.17385757e+15,3.74825554e+15,3.36957552e+15,3.93853601e+15,3.56700577e+15,5.60778525e+15,5.61313625e+15,3.35659479e+15,3.35659479e+15,2.0654079e+15,4.94534292e+15,2.86450133e+15,-1.24259779e+15,2.62243885e+15,2.35601505e+15,2.09206582e+15
2019-01-03,3.55140457e+15,3.13993838e+15,2.4155892e+15,3.00407595e+15,4.47182063e+15,3.41746092e+15,1.35211906e+15,4.98536879e+15,3.37866743e+15,2.87710437e+15,5.46350012e+15,3.41086948e+15,3.41086948e+15,1.95943468e+15,1.06112718e+16,3.98624263e+15,9.38245672e+14,-1.267651e+30,2.62470954e+15,2.7050708e+15
2019-01-04,3.54376275e+15,3.16829054e+15,2.47106648e+15,3.26318703e+15,4.64014845e+15,2.58908467e+15,2.81326854e+15,3.97652285e+15,3.25566252e+15,4.95446167e+15,4.45901814e+15,3.08450646e+15,3.08450646e+15,2.15544893e+15,-1.267651e+30,3.05793431e+15,1.57881776e+15,2.17069701e+15,3.17888407e+15,2.63672847e+15
2019-01-05,3.23865042e+15,3.09355623e+15,2.4605312e+15,3.33270081e+15,4.35009186e+15,1.95628647e+15,1.26234699e+15,5.10499276e+15,3.99043613e+15,2.38110061e+15,6.04226092e+15,2.92466979e+15,2.92466979e+15,2.03626574e+15,1.17838387e+16,1.93724003e+15,3.13867184e+14,1.14428747e+15,1.41071529e+15,2.35647917e+15
2019-01-06,3.59813274e+15,2.88915068e+15,2.58119052e+15,3.16639404e+15,6.66566308e+15,1.09254244e+15,2.19203957e+14,4.06233308e+15,4.22954958e+15,3.95949008e+15,5.28369883e+15,3.19788018e+15,3.19788018e+15,2.36455908e+15,4.48797803e+15,2.26389981e+15,5.10677551e+14,9.77795275e+14,1.27616135e+15,2.03611837e+15
2019-01-07,3.48493378e+15,3.05813214e+15,2.57626473e+15,3.45229364e+15,5.13997205e+15,2.71574997e+15,3.31159373e+15,4.88681164e+15,3.920393e+15,6.58195202e+15,6.30200444e+15,2.75326838e+15,2.75326838e+15,2.41755146e+15,1.43722287e+16,2.83936503e+15,7.42131895e+14,1.85745444e+15,1.37411868e+15,2.56973557e+15
2019-01-08,3.38652051e+15,2.91917358e+15,2.58311842e+15,3.39814699e+15,5.25455211e+15,2.50713696e+15,,4.41230929e+15,4.21170935e+15,3.50498806e+15,5.7696717e+15,3.42181279e+15,3.42181279e+15,2.48431646e+15,1.24808754e+16,3.16182956e+15,7.50218178e+14,-1.267651e+30,1.54974231e+15,2.68156337e+15
2019-01-09,3.27259731e+15,3.24719419e+15,2.58697047e+15,3.25802851e+15,4.47144831e+15,3.8049687e+15,2.22261565e+15,5.05669585e+15,3.21424776e+15,5.25813572e+15,5.87781468e+15,3.11053772e+15,3.11053772e+15,2.16492954e+15,6.13617522e+15,2.82388946e+15,1.81667336e+14,1.78840814e+15,2.1674692e+15,2.40675069e+15
2019-01-10,3.55593147e+15,3.17136976e+15,2.50659445e+15,3.14353139e+15,4.45193305e+15,3.63770738e+15,-1.37304347e+15,5.14222315e+15,3.57393892e+15,7.76472803e+15,4.08933124e+15,3.8839808e+15,3.8839808e+15,1.90773508e+15,1.17604956e+16,3.37531762e+15,1.29233647e+15,-1.267651e+30,1.93085127e+15,2.91619528e+15
2019-01-11,3.47310141e+15,3.26463605e+15,2.60277944e+15,3.22042822e+15,5.44884784e+15,4.1017394e+15,4.2693905e+15,4.07839142e+15,3.1809368e+15,8.03520628e+15,4.85917353e+15,3.65099788e+15,3.65099788e+15,2.01335665e+15,,2.36441412e+15,2.54244857e+15,2.24981057e+15,1.23491141e+15,2.78979601e+15
2019-01-12,3.43143406e+15,3.27711749e+15,2.47482565e+15,3.40167315e+15,4.93886396e+15,3.4857203e+15,,5.19566972e+15,3.91574289e+15,2.97966792e+15,3.6175868e+15,3.34996739e+15,3.34996739e+15,1.81324124e+15,1.77899822e+16,2.46270204e+15,2.44871279e+15,,1.69205927e+15,2.59540203e+15
2019-01-13,3.42961594e+15,3.11879292e+15,2.56832843e+15,3.20702228e+15,5.56151879e+15,2.13797942e+15,3.39696077e+15,3.78304424e+15,3.40531314e+15,7.45316144e+15,4.42046651e+15,3.33250512e+15,3.33250512e+15,2.22323144e+15,-1.267651e+30,2.30268014e+15,3.13401106e+15,7.75726016e+15,3.19662309e+15,2.385227e+15
2019-01-14,3.34657678e+15,3.18759722e+15,2.44136249e+15,3.11611715e+15,3.88556833e+15,3.40326417e+15,5.95835176e+15,4.67683015e+15,4.08086049e+15,3.97523892e+15,5.59873415e+15,2.9716927e+15,2.9716927e+15,1.98264052e+15,1.06876589e+16,2.23211866e+15,1.03665398e+15,2.34252294e+15,3.27441327e+15,2.70825498e+15
2019-01-15,3.57425783e+15,2.90234697e+15,2.52765053e+15,3.00325642e+15,4.13064426e+15,2.43864136e+15,4.47794606e+15,3.91911229e+15,4.38311935e+15,4.7354527e+15,3.56276583e+15,3.42179427e+15,3.42179427e+15,1.91771619e+15,2.00036749e+16,2.77887766e+15,2.12796611e+15,3.07056849e+15,2.46379994e+15,2.92147675e+15
2019-01-16,3.52210592e+15,3.0538353e+15,2.5459836e+15,3.25709623e+15,5.38512502e+15,3.21328918e+15,6.12491972e+15,5.30681435e+15,3.84800106e+15,5.16777283e+15,6.99687968e+15,3.00933756e+15,3.00933756e+15,2.00451747e+15,7.05972525e+15,2.19647889e+15,1.67058591e+15,3.65375203e+15,2.68569647e+15,2.78238531e+15
2019-01-17,3.4289717e+15,3.00113363e+15,2.5041584e+15,3.1730405e+15,5.52679613e+15,3.22653674e+15,5.15852899e+15,4.99158576e+15,4.01420904e+15,2.68009154e+15,5.30099681e+15,3.55193446e+15,3.55193446e+15,2.0034942e+15,1.34492692e+16,3.11230859e+15,1.9989567e+15,1.96570815e+15,3.01905626e+15,3.34797828e+15
2019-01-18,3.08158481e+15,3.18437707e+15,2.50553279e+15,3.17422806e+15,5.52212804e+15,4.28153559e+15,7.09870638e+15,4.96465631e+15,3.57967458e+15,4.96080963e+15,5.43172595e+15,3.16143604e+15,3.16143604e+15,2.18064469e+15,5.91946835e+15,3.62131241e+15,1.10741074e+15,4.2645302e+15,4.76175615e+15,2.27431672e+15
2019-01-19,3.39025606e+15,3.02542328e+15,2.53940774e+15,3.33561709e+15,4.35423784e+15,2.96103984e+15,7.00819477e+15,5.1969915e+15,4.15032568e+15,3.02436216e+15,4.63126001e+15,3.36096653e+15,3.36096653e+15,2.16190534e+15,1.68444795e+16,3.19699219e+15,1.9287764e+15,-1.267651e+30,2.79403433e+15,2.36981317e+15
